,>ENST00000411678.1,>ENST00000448149.1,ENSG00000176299.4,>ENST00000562736.1,>ENST00000444291.1,>ENST00000503077.1,>ENST00000415545.2,>ENST00000413552.1,>ENST00000611065.1,>ENST00000518583.1,>ENST00000620434.1
>ENST00000411678.1,0.0,10.0,12.0,11.0,11.0,11.0,14.0,10.0,9.0,10.0,10.0
>ENST00000448149.1,10.0,0.0,11.0,10.0,8.0,8.0,10.0,11.0,11.0,12.0,8.0
ENSG00000176299.4,12.0,11.0,0.0,9.0,9.0,10.0,11.0,11.0,9.0,8.0,10.0
>ENST00000562736.1,11.0,10.0,9.0,0.0,11.0,11.0,10.0,10.0,8.0,8.0,8.0
>ENST00000444291.1,11.0,8.0,9.0,11.0,0.0,9.0,11.0,12.0,8.0,8.0,12.0
>ENST00000503077.1,11.0,8.0,10.0,11.0,9.0,0.0,11.0,11.0,9.0,9.0,8.0
>ENST00000415545.2,14.0,10.0,11.0,10.0,11.0,11.0,0.0,12.0,9.0,9.0,9.0
>ENST00000413552.1,10.0,11.0,11.0,10.0,12.0,11.0,12.0,0.0,10.0,12.0,10.0
>ENST00000611065.1,9.0,11.0,9.0,8.0,8.0,9.0,9.0,10.0,0.0,10.0,9.0
>ENST00000518583.1,10.0,12.0,8.0,8.0,8.0,9.0,9.0,12.0,10.0,0.0,8.0
>ENST00000620434.1,10.0,8.0,10.0,8.0,12.0,8.0,9.0,10.0,9.0,8.0,0.0
