,>ENST00000437218.1,>ENST00000418264.1,>ENST00000603591.1,>ENST00000570155.1,>ENST00000314927.4,>ENST00000584274.1,>ENST00000425261.1,>ENST00000532231.1,>ENST00000463578.1,>ENST00000399570.3,>ENST00000413895.1,>ENST00000521465.1,>ENST00000424288.1,>ENST00000405035.1,>ENST00000403408.2,>ENST00000436122.1,>ENST00000622706.1,>ENST00000399415.2,>ENST00000440968.1,>ENST00000441772.1,>ENST00000624084.2,ENSG00000170890.13,ENSG00000181803.3,>ENST00000413611.2,>ENST00000420012.1,>ENST00000458450.1,>ENST00000404225.1,>ENST00000597372.1,>ENST00000380194.3,>ENST00000591796.1,ENSG00000239731.3,>ENST00000519431.1,>ENST00000568241.1
>ENST00000437218.1,0.0,10.0,8.0,7.0,11.0,9.0,9.0,7.0,10.0,9.0,8.0,11.0,9.0,11.0,8.0,11.0,11.0,10.0,8.0,8.0,9.0,10.0,9.0,11.0,10.0,8.0,9.0,9.0,11.0,8.0,9.0,7.0,8.0
>ENST00000418264.1,10.0,0.0,10.0,7.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,11.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,11.0,10.0,13.0,13.0,9.0,9.0,10.0,10.0,8.0,9.0,12.0,9.0
>ENST00000603591.1,8.0,10.0,0.0,10.0,11.0,10.0,10.0,11.0,11.0,8.0,9.0,12.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,11.0,9.0,11.0,10.0,13.0,10.0,10.0,11.0,13.0,11.0,9.0,8.0,11.0,9.0
>ENST00000570155.1,7.0,7.0,10.0,0.0,9.0,7.0,8.0,5.0,7.0,6.0,6.0,8.0,7.0,7.0,6.0,6.0,8.0,6.0,7.0,8.0,8.0,8.0,7.0,9.0,8.0,6.0,8.0,9.0,9.0,7.0,7.0,7.0,7.0
>ENST00000314927.4,11.0,11.0,11.0,9.0,0.0,12.0,14.0,11.0,11.0,9.0,10.0,10.0,12.0,12.0,10.0,8.0,16.0,13.0,44.0,9.0,9.0,64.0,11.0,12.0,11.0,9.0,10.0,10.0,12.0,12.0,18.0,9.0,10.0
>ENST00000584274.1,9.0,10.0,10.0,7.0,12.0,0.0,7.0,7.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,11.0,9.0,7.0,11.0,9.0,13.0,10.0,10.0,10.0,9.0,10.0,12.0,10.0,7.0,8.0,10.0,8.0
>ENST00000425261.1,9.0,10.0,10.0,8.0,14.0,7.0,0.0,8.0,8.0,9.0,10.0,10.0,11.0,11.0,9.0,9.0,13.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,8.0,8.0,10.0,10.0,8.0,9.0,8.0,8.0
>ENST00000532231.1,7.0,9.0,11.0,5.0,11.0,7.0,8.0,0.0,7.0,8.0,12.0,11.0,9.0,8.0,7.0,7.0,9.0,7.0,6.0,10.0,9.0,18.0,7.0,10.0,7.0,8.0,10.0,7.0,12.0,6.0,6.0,9.0,8.0
>ENST00000463578.1,10.0,9.0,11.0,7.0,11.0,9.0,8.0,7.0,0.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,12.0,9.0,10.0,9.0,10.0,8.0,10.0,12.0,10.0,10.0,6.0,7.0
>ENST00000399570.3,9.0,9.0,8.0,6.0,9.0,8.0,9.0,8.0,9.0,0.0,9.0,11.0,9.0,9.0,8.0,10.0,11.0,11.0,9.0,10.0,8.0,12.0,9.0,13.0,9.0,8.0,9.0,10.0,11.0,8.0,8.0,7.0,10.0
