,ENSG00000199299.1,ENSG00000281746.1,ENSG00000121314.2,ENSG00000243871.3,ENSG00000201395.1,ENSG00000201499.1,ENSG00000199303.1,ENSG00000206885.1,ENSG00000207124.1,ENSG00000083812.11,ENSG00000176219.2
ENSG00000199299.1,0.0,5.0,8.0,10.0,7.0,7.0,5.0,5.0,6.0,11.0,9.0
ENSG00000281746.1,5.0,0.0,8.0,7.0,8.0,5.0,5.0,6.0,6.0,9.0,8.0
ENSG00000121314.2,8.0,8.0,0.0,8.0,11.0,8.0,8.0,12.0,7.0,11.0,11.0
ENSG00000243871.3,10.0,7.0,8.0,0.0,7.0,8.0,7.0,7.0,8.0,10.0,10.0
ENSG00000201395.1,7.0,8.0,11.0,7.0,0.0,7.0,7.0,7.0,8.0,10.0,9.0
ENSG00000201499.1,7.0,5.0,8.0,8.0,7.0,0.0,6.0,7.0,20.0,10.0,7.0
ENSG00000199303.1,5.0,5.0,8.0,7.0,7.0,6.0,0.0,7.0,6.0,9.0,7.0
ENSG00000206885.1,5.0,6.0,12.0,7.0,7.0,7.0,7.0,0.0,7.0,11.0,10.0
ENSG00000207124.1,6.0,6.0,7.0,8.0,8.0,20.0,6.0,7.0,0.0,11.0,8.0
ENSG00000083812.11,11.0,9.0,11.0,10.0,10.0,10.0,9.0,11.0,11.0,0.0,12.0
ENSG00000176219.2,9.0,8.0,11.0,10.0,9.0,7.0,7.0,10.0,8.0,12.0,0.0
