,>ENST00000401718.1,>ENST00000495605.2,ENSG00000222869.1,>ENST00000524889.1,>ENST00000556576.1,>ENST00000419597.1,>ENST00000611327.1,>ENST00000411756.1,>ENST00000422315.1,>ENST00000397972.2,>ENST00000557196.1,>ENST00000403053.1,>ENST00000430283.1,>ENST00000441992.1,>ENST00000400949.4,>ENST00000612308.1
>ENST00000401718.1,0.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,9.0,12.0,8.0,10.0,8.0,10.0
>ENST00000495605.2,9.0,0.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,8.0,9.0,7.0,9.0,8.0,9.0
ENSG00000222869.1,8.0,9.0,0.0,8.0,7.0,7.0,7.0,10.0,6.0,8.0,7.0,8.0,8.0,9.0,8.0,9.0
>ENST00000524889.1,9.0,10.0,8.0,0.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,7.0
>ENST00000556576.1,10.0,10.0,7.0,11.0,0.0,10.0,9.0,9.0,8.0,8.0,8.0,12.0,10.0,9.0,11.0,9.0
>ENST00000419597.1,9.0,9.0,7.0,8.0,10.0,0.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,12.0,9.0,8.0
>ENST00000611327.1,8.0,10.0,7.0,9.0,9.0,9.0,0.0,10.0,7.0,9.0,13.0,9.0,11.0,10.0,7.0,7.0
>ENST00000411756.1,10.0,8.0,10.0,9.0,9.0,9.0,10.0,0.0,9.0,12.0,9.0,12.0,10.0,11.0,10.0,9.0
>ENST00000422315.1,8.0,10.0,6.0,9.0,8.0,9.0,7.0,9.0,0.0,9.0,7.0,9.0,7.0,12.0,7.0,7.0
>ENST00000397972.2,9.0,9.0,8.0,9.0,8.0,10.0,9.0,12.0,9.0,0.0,7.0,11.0,9.0,9.0,8.0,9.0
>ENST00000557196.1,9.0,8.0,7.0,9.0,8.0,8.0,13.0,9.0,7.0,7.0,0.0,11.0,9.0,8.0,8.0,8.0
>ENST00000403053.1,12.0,9.0,8.0,8.0,12.0,10.0,9.0,12.0,9.0,11.0,11.0,0.0,9.0,10.0,9.0,9.0
>ENST00000430283.1,8.0,7.0,8.0,8.0,10.0,9.0,11.0,10.0,7.0,9.0,9.0,9.0,0.0,8.0,9.0,9.0
>ENST00000441992.1,10.0,9.0,9.0,9.0,9.0,12.0,10.0,11.0,12.0,9.0,8.0,10.0,8.0,0.0,9.0,8.0
>ENST00000400949.4,8.0,8.0,8.0,7.0,11.0,9.0,7.0,10.0,7.0,8.0,8.0,9.0,9.0,9.0,0.0,8.0
>ENST00000612308.1,10.0,9.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,9.0,8.0,9.0,9.0,8.0,8.0,0.0
