,>ENST00000552843.1,>ENST00000475327.1,>ENST00000426545.1,>ENST00000603596.1,>ENST00000436802.2,>ENST00000441511.2,ENSG00000253039.1,>ENST00000506872.1,>ENST00000590539.1,>ENST00000453468.1,>ENST00000604332.1
>ENST00000552843.1,0.0,9.0,9.0,10.0,10.0,8.0,7.0,10.0,9.0,8.0,8.0
>ENST00000475327.1,9.0,0.0,10.0,9.0,11.0,10.0,8.0,10.0,10.0,10.0,12.0
>ENST00000426545.1,9.0,10.0,0.0,11.0,11.0,11.0,9.0,9.0,9.0,10.0,9.0
>ENST00000603596.1,10.0,9.0,11.0,0.0,9.0,11.0,7.0,9.0,12.0,9.0,9.0
>ENST00000436802.2,10.0,11.0,11.0,9.0,0.0,10.0,7.0,10.0,9.0,9.0,9.0
>ENST00000441511.2,8.0,10.0,11.0,11.0,10.0,0.0,7.0,12.0,10.0,8.0,10.0
ENSG00000253039.1,7.0,8.0,9.0,7.0,7.0,7.0,0.0,8.0,8.0,7.0,7.0
>ENST00000506872.1,10.0,10.0,9.0,9.0,10.0,12.0,8.0,0.0,10.0,9.0,10.0
>ENST00000590539.1,9.0,10.0,9.0,12.0,9.0,10.0,8.0,10.0,0.0,8.0,8.0
>ENST00000453468.1,8.0,10.0,10.0,9.0,9.0,8.0,7.0,9.0,8.0,0.0,11.0
>ENST00000604332.1,8.0,12.0,9.0,9.0,9.0,10.0,7.0,10.0,8.0,11.0,0.0
