,>ENST00000588476.1,>ENST00000436276.1,>ENST00000502554.2,>ENST00000427963.1,ENSG00000107872.12,>ENST00000478218.1,>ENST00000412243.2,>ENST00000427493.1,>ENST00000476069.1,>ENST00000615809.1,>ENST00000481421.1,>ENST00000550134.1,>ENST00000605745.1,>ENST00000605641.1,>ENST00000445405.1,>ENST00000509159.1,>ENST00000454171.1,>ENST00000605879.1,>ENST00000438727.2,>ENST00000498296.1,>ENST00000503910.1,>ENST00000419107.1,>ENST00000502780.2,>ENST00000425797.2,>ENST00000495150.1,>ENST00000452984.1,>ENST00000450680.1,>ENST00000431038.2,>ENST00000459631.1,>ENST00000421815.1,>ENST00000481064.1,>ENST00000423883.1,>ENST00000496160.2,>ENST00000427490.1,>ENST00000477300.1
>ENST00000588476.1,0.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,11.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,8.0,10.0,7.0,8.0,10.0,14.0,10.0,8.0,9.0
>ENST00000436276.1,9.0,0.0,8.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,10.0,9.0,7.0,9.0,9.0,10.0,11.0,10.0,8.0,9.0,9.0,7.0,8.0,9.0,9.0,8.0,8.0,10.0,7.0,11.0,8.0,10.0,10.0,9.0,9.0
>ENST00000502554.2,8.0,8.0,0.0,10.0,10.0,8.0,12.0,9.0,9.0,9.0,10.0,8.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0
>ENST00000427963.1,9.0,9.0,10.0,0.0,10.0,8.0,10.0,7.0,13.0,10.0,11.0,9.0,9.0,9.0,11.0,12.0,13.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,13.0,10.0,12.0
ENSG00000107872.12,9.0,9.0,10.0,10.0,0.0,12.0,11.0,10.0,11.0,9.0,10.0,8.0,10.0,10.0,12.0,11.0,11.0,10.0,10.0,11.0,12.0,8.0,10.0,14.0,12.0,10.0,11.0,10.0,9.0,10.0,12.0,9.0,9.0,10.0,13.0
>ENST00000478218.1,8.0,9.0,8.0,8.0,12.0,0.0,9.0,8.0,10.0,11.0,10.0,10.0,5.0,7.0,10.0,9.0,11.0,8.0,11.0,8.0,9.0,7.0,9.0,14.0,9.0,11.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,8.0,7.0
>ENST00000412243.2,10.0,11.0,12.0,10.0,11.0,9.0,0.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,11.0,10.0,11.0,10.0,13.0,10.0,9.0,7.0,9.0,9.0,10.0,10.0,11.0,9.0,10.0,16.0,13.0,9.0,10.0,9.0,9.0
>ENST00000427493.1,9.0,8.0,9.0,7.0,10.0,8.0,9.0,0.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,11.0,10.0,9.0,8.0,8.0,8.0,7.0,9.0,7.0,8.0,9.0,9.0,11.0
>ENST00000476069.1,9.0,9.0,9.0,13.0,11.0,10.0,10.0,9.0,0.0,10.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,11.0,10.0,9.0,9.0,11.0,11.0,11.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0
>ENST00000615809.1,9.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,0.0,12.0,7.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,13.0,9.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,11.0,8.0,9.0,9.0
>ENST00000481421.1,10.0,10.0,10.0,11.0,10.0,10.0,9.0,9.0,11.0,12.0,0.0,10.0,9.0,10.0,12.0,11.0,10.0,9.0,10.0,10.0,12.0,9.0,11.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0
>ENST00000550134.1,11.0,9.0,8.0,9.0,8.0,10.0,9.0,8.0,9.0,7.0,10.0,0.0,8.0,8.0,13.0,11.0,9.0,9.0,8.0,8.0,8.0,6.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,10.0
>ENST00000605745.1,8.0,7.0,11.0,9.0,10.0,5.0,8.0,9.0,7.0,9.0,9.0,8.0,0.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,8.0,6.0,7.0,9.0,8.0,7.0,9.0,8.0,8.0,7.0,8.0,7.0,11.0,8.0,8.0
>ENST00000605641.1,9.0,9.0,9.0,9.0,10.0,7.0,9.0,8.0,10.0,10.0,10.0,8.0,9.0,0.0,9.0,12.0,10.0,10.0,9.0,11.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,12.0
>ENST00000445405.1,9.0,9.0,10.0,11.0,12.0,10.0,11.0,8.0,9.0,9.0,12.0,13.0,9.0,9.0,0.0,11.0,9.0,10.0,10.0,10.0,11.0,8.0,8.0,12.0,11.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0
>ENST00000509159.1,10.0,10.0,10.0,12.0,11.0,9.0,10.0,9.0,11.0,10.0,11.0,11.0,10.0,12.0,11.0,0.0,19.0,10.0,9.0,10.0,11.0,8.0,9.0,12.0,10.0,18.0,11.0,12.0,9.0,11.0,10.0,11.0,9.0,10.0,17.0
>ENST00000454171.1,10.0,11.0,9.0,13.0,11.0,11.0,11.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,19.0,0.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0,12.0,19.0,10.0,11.0,8.0,11.0,10.0,10.0,10.0,12.0,9.0
>ENST00000605879.1,10.0,10.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,0.0,10.0,9.0,8.0,7.0,9.0,10.0,10.0,11.0,12.0,10.0,10.0,9.0,8.0,9.0,10.0,11.0,9.0
>ENST00000438727.2,9.0,8.0,10.0,9.0,10.0,11.0,13.0,9.0,11.0,11.0,10.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,0.0,10.0,10.0,7.0,8.0,12.0,11.0,10.0,11.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0
>ENST00000498296.1,9.0,9.0,9.0,9.0,11.0,8.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,11.0,10.0,10.0,9.0,9.0,10.0,0.0,9.0,9.0,9.0,10.0,11.0,9.0,11.0,10.0,8.0,10.0,10.0,10.0,8.0,11.0,8.0
>ENST00000503910.1,9.0,9.0,9.0,9.0,12.0,9.0,9.0,9.0,9.0,13.0,12.0,8.0,8.0,9.0,11.0,11.0,11.0,8.0,10.0,9.0,0.0,7.0,11.0,9.0,10.0,9.0,10.0,10.0,8.0,10.0,9.0,10.0,9.0,8.0,9.0
>ENST00000419107.1,8.0,7.0,10.0,9.0,8.0,7.0,7.0,7.0,9.0,9.0,9.0,6.0,6.0,8.0,8.0,8.0,9.0,7.0,7.0,9.0,7.0,0.0,9.0,7.0,8.0,6.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0
>ENST00000502780.2,9.0,8.0,10.0,9.0,10.0,9.0,9.0,11.0,11.0,12.0,11.0,8.0,7.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,0.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,12.0,9.0,9.0,12.0,8.0
>ENST00000425797.2,10.0,9.0,10.0,9.0,14.0,14.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0,12.0,12.0,10.0,10.0,12.0,10.0,9.0,7.0,9.0,0.0,11.0,9.0,11.0,12.0,11.0,11.0,9.0,9.0,9.0,9.0,8.0
>ENST00000495150.1,9.0,9.0,11.0,9.0,12.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,8.0,9.0,11.0,10.0,12.0,10.0,11.0,11.0,10.0,8.0,8.0,11.0,0.0,8.0,13.0,10.0,10.0,9.0,9.0,9.0,9.0,11.0,9.0
>ENST00000452984.1,8.0,8.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,9.0,9.0,7.0,7.0,8.0,10.0,18.0,19.0,11.0,10.0,9.0,9.0,6.0,8.0,9.0,8.0,0.0,9.0,11.0,7.0,9.0,9.0,9.0,9.0,9.0,11.0
>ENST00000450680.1,8.0,8.0,11.0,10.0,11.0,8.0,11.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,9.0,11.0,10.0,12.0,11.0,11.0,10.0,7.0,9.0,11.0,13.0,9.0,0.0,11.0,8.0,10.0,9.0,9.0,11.0,9.0,8.0
