,>ENST00000450910.1,>ENST00000416693.2,>ENST00000433928.1,ENSG00000200673.1,>ENST00000605078.1,>ENST00000431968.2,>ENST00000619829.1,>ENST00000532030.1,>ENST00000553311.1,>ENST00000594491.1,ENSG00000274558.1,>ENST00000429245.1,ENSG00000202029.1,>ENST00000422383.1,>ENST00000614586.1,>ENST00000510773.1,>ENST00000603996.1,>ENST00000421800.1,>ENST00000559052.1,>ENST00000566916.1,>ENST00000577336.1,>ENST00000427577.1,>ENST00000413467.1,ENSG00000196981.3,>ENST00000514454.1,>ENST00000414660.1,>ENST00000561495.1,>ENST00000614358.1,>ENST00000605469.1,>ENST00000423418.1,>ENST00000404462.1,>ENST00000451184.1,>ENST00000610837.1,>ENST00000616414.1,>ENST00000447187.1
>ENST00000450910.1,0.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,10.0,10.0,8.0,11.0,8.0,9.0,13.0,8.0,9.0,12.0,15.0,9.0,9.0,8.0,8.0,11.0,10.0,10.0,7.0,11.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0
>ENST00000416693.2,9.0,0.0,8.0,9.0,9.0,7.0,9.0,9.0,9.0,11.0,7.0,9.0,8.0,11.0,12.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,12.0,9.0,7.0,9.0,10.0,8.0,10.0,10.0,11.0,8.0,9.0
>ENST00000433928.1,9.0,8.0,0.0,9.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,9.0,8.0,9.0,13.0,8.0,10.0,10.0,9.0,9.0,9.0,12.0,10.0,10.0,9.0,9.0,7.0,14.0,9.0,9.0,10.0,11.0,9.0,8.0,8.0
ENSG00000200673.1,9.0,9.0,9.0,0.0,9.0,7.0,11.0,8.0,9.0,8.0,9.0,9.0,7.0,8.0,12.0,7.0,9.0,8.0,11.0,8.0,8.0,9.0,9.0,10.0,9.0,12.0,7.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0
>ENST00000605078.1,8.0,9.0,8.0,9.0,0.0,7.0,8.0,9.0,8.0,8.0,7.0,10.0,7.0,9.0,13.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,8.0,10.0,11.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0
>ENST00000431968.2,9.0,7.0,8.0,7.0,7.0,0.0,8.0,7.0,9.0,7.0,8.0,8.0,7.0,7.0,10.0,8.0,7.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,7.0,8.0,8.0,8.0,9.0,8.0,7.0,7.0,8.0
>ENST00000619829.1,11.0,9.0,8.0,11.0,8.0,8.0,0.0,9.0,10.0,8.0,7.0,10.0,8.0,8.0,10.0,7.0,10.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,7.0,10.0,7.0,13.0,7.0,10.0,9.0,9.0,10.0,13.0,8.0
>ENST00000532030.1,10.0,9.0,9.0,8.0,9.0,7.0,9.0,0.0,9.0,7.0,9.0,8.0,6.0,8.0,10.0,8.0,9.0,11.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,7.0,10.0,8.0,8.0,11.0,9.0,11.0,11.0,9.0
>ENST00000553311.1,10.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,0.0,9.0,8.0,11.0,8.0,9.0,14.0,10.0,11.0,11.0,10.0,8.0,10.0,9.0,10.0,10.0,10.0,11.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0
>ENST00000594491.1,10.0,11.0,7.0,8.0,8.0,7.0,8.0,7.0,9.0,0.0,7.0,9.0,8.0,8.0,10.0,11.0,9.0,9.0,9.0,12.0,10.0,9.0,9.0,14.0,9.0,7.0,8.0,9.0,8.0,11.0,11.0,10.0,8.0,8.0,8.0
ENSG00000274558.1,8.0,7.0,7.0,9.0,7.0,8.0,7.0,9.0,8.0,7.0,0.0,8.0,5.0,6.0,10.0,7.0,8.0,7.0,7.0,8.0,7.0,9.0,7.0,9.0,9.0,10.0,6.0,9.0,8.0,9.0,8.0,8.0,11.0,7.0,7.0
>ENST00000429245.1,11.0,9.0,9.0,9.0,10.0,8.0,10.0,8.0,11.0,9.0,8.0,0.0,8.0,9.0,15.0,9.0,11.0,11.0,10.0,10.0,9.0,11.0,9.0,11.0,10.0,11.0,7.0,10.0,10.0,10.0,11.0,11.0,9.0,10.0,9.0
ENSG00000202029.1,8.0,8.0,8.0,7.0,7.0,7.0,8.0,6.0,8.0,8.0,5.0,8.0,0.0,7.0,9.0,6.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,7.0,9.0,8.0,8.0,9.0,10.0,10.0,8.0,9.0,8.0,7.0
