,>ENST00000455085.1,>ENST00000431339.1,>ENST00000604968.1,>ENST00000496098.1,>ENST00000620024.1,ENSG00000221859.2,ENSG00000200130.1,>ENST00000440519.2,>ENST00000554676.1,>ENST00000470544.2,>ENST00000505310.1,>ENST00000526892.1,>ENST00000515547.1,>ENST00000442049.2,>ENST00000428803.2
>ENST00000455085.1,0.0,10.0,8.0,9.0,6.0,9.0,6.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0
>ENST00000431339.1,10.0,0.0,11.0,11.0,8.0,11.0,9.0,10.0,12.0,12.0,10.0,12.0,10.0,10.0,10.0
>ENST00000604968.1,8.0,11.0,0.0,10.0,7.0,10.0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0
>ENST00000496098.1,9.0,11.0,10.0,0.0,7.0,11.0,8.0,8.0,9.0,10.0,9.0,11.0,9.0,8.0,10.0
>ENST00000620024.1,6.0,8.0,7.0,7.0,0.0,8.0,6.0,8.0,7.0,7.0,7.0,8.0,7.0,9.0,8.0
ENSG00000221859.2,9.0,11.0,10.0,11.0,8.0,0.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,9.0,11.0
ENSG00000200130.1,6.0,9.0,8.0,8.0,6.0,10.0,0.0,7.0,8.0,7.0,7.0,12.0,8.0,9.0,6.0
>ENST00000440519.2,10.0,10.0,9.0,8.0,8.0,10.0,7.0,0.0,8.0,8.0,8.0,9.0,12.0,8.0,10.0
>ENST00000554676.1,11.0,12.0,8.0,9.0,7.0,10.0,8.0,8.0,0.0,9.0,10.0,11.0,9.0,10.0,10.0
>ENST00000470544.2,9.0,12.0,10.0,10.0,7.0,10.0,7.0,8.0,9.0,0.0,12.0,10.0,11.0,10.0,9.0
>ENST00000505310.1,9.0,10.0,9.0,9.0,7.0,10.0,7.0,8.0,10.0,12.0,0.0,11.0,10.0,17.0,10.0
>ENST00000526892.1,9.0,12.0,10.0,11.0,8.0,11.0,12.0,9.0,11.0,10.0,11.0,0.0,13.0,9.0,13.0
>ENST00000515547.1,10.0,10.0,9.0,9.0,7.0,9.0,8.0,12.0,9.0,11.0,10.0,13.0,0.0,9.0,10.0
>ENST00000442049.2,9.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,17.0,9.0,9.0,0.0,10.0
>ENST00000428803.2,9.0,10.0,9.0,10.0,8.0,11.0,6.0,10.0,10.0,9.0,10.0,13.0,10.0,10.0,0.0
