,>ENST00000522428.1,>ENST00000464073.1,>ENST00000494933.1,>ENST00000446395.3,ENSG00000207590.1,>ENST00000486139.1,>ENST00000475365.1,>ENST00000592739.1,>ENST00000414406.2,>ENST00000592752.1,>ENST00000415962.1,>ENST00000485294.1,>ENST00000426792.1,>ENST00000513846.1,>ENST00000498401.2,>ENST00000484597.1,>ENST00000614543.1,>ENST00000530880.1,>ENST00000593398.1,>ENST00000423783.1,>ENST00000458353.1,>ENST00000437151.1,ENSG00000207083.1,>ENST00000398098.2,>ENST00000419974.2,>ENST00000466800.1
>ENST00000522428.1,0.0,10.0,9.0,9.0,9.0,8.0,11.0,10.0,10.0,8.0,7.0,8.0,10.0,10.0,10.0,8.0,10.0,8.0,8.0,12.0,7.0,9.0,6.0,9.0,9.0,8.0
>ENST00000464073.1,10.0,0.0,11.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,12.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,9.0,10.0,8.0,10.0,8.0,11.0,10.0,9.0
>ENST00000494933.1,9.0,11.0,0.0,7.0,7.0,8.0,10.0,12.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,12.0,9.0,9.0,13.0,8.0,9.0,9.0,9.0,11.0,11.0
>ENST00000446395.3,9.0,8.0,7.0,0.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,7.0,9.0,8.0,8.0,7.0,8.0,8.0,10.0,8.0,9.0,12.0,7.0,9.0,8.0,9.0
ENSG00000207590.1,9.0,8.0,7.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,10.0,9.0,7.0,8.0,7.0,8.0,9.0,7.0,7.0,8.0,6.0,8.0,10.0,7.0
>ENST00000486139.1,8.0,9.0,8.0,8.0,8.0,0.0,14.0,9.0,10.0,10.0,8.0,7.0,9.0,11.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0
>ENST00000475365.1,11.0,10.0,10.0,9.0,8.0,14.0,0.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,11.0,11.0,10.0,10.0,10.0,12.0,9.0,11.0,8.0,9.0,12.0,10.0
>ENST00000592739.1,10.0,9.0,12.0,10.0,8.0,9.0,10.0,0.0,9.0,8.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,15.0,10.0,10.0,8.0,9.0,8.0,9.0,11.0,9.0
>ENST00000414406.2,10.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,0.0,11.0,9.0,8.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,12.0,8.0,11.0,10.0,9.0
>ENST00000592752.1,8.0,10.0,8.0,9.0,8.0,10.0,10.0,8.0,11.0,0.0,8.0,7.0,9.0,11.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,7.0,10.0,9.0,10.0
>ENST00000415962.1,7.0,12.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,8.0,0.0,7.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,6.0,9.0,10.0,7.0
>ENST00000485294.1,8.0,9.0,8.0,7.0,6.0,7.0,9.0,9.0,8.0,7.0,7.0,0.0,8.0,11.0,9.0,8.0,7.0,9.0,7.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0
>ENST00000426792.1,10.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,0.0,12.0,23.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,11.0
>ENST00000513846.1,10.0,10.0,9.0,8.0,9.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,12.0,0.0,10.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,8.0,9.0,10.0,10.0
>ENST00000498401.2,10.0,10.0,9.0,8.0,7.0,10.0,11.0,10.0,10.0,8.0,9.0,9.0,23.0,10.0,0.0,10.0,8.0,12.0,12.0,11.0,10.0,9.0,9.0,9.0,11.0,8.0
>ENST00000484597.1,8.0,10.0,10.0,7.0,8.0,8.0,11.0,10.0,9.0,10.0,8.0,8.0,10.0,9.0,10.0,0.0,7.0,10.0,9.0,15.0,8.0,9.0,7.0,9.0,9.0,8.0
>ENST00000614543.1,10.0,9.0,12.0,8.0,7.0,9.0,10.0,9.0,10.0,9.0,9.0,7.0,9.0,9.0,8.0,7.0,0.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0
>ENST00000530880.1,8.0,11.0,9.0,8.0,8.0,10.0,10.0,15.0,10.0,9.0,8.0,9.0,10.0,10.0,12.0,10.0,9.0,0.0,9.0,12.0,10.0,9.0,8.0,9.0,12.0,8.0
>ENST00000593398.1,8.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,7.0,10.0,10.0,12.0,9.0,9.0,9.0,0.0,10.0,9.0,10.0,9.0,10.0,11.0,11.0
>ENST00000423783.1,12.0,10.0,13.0,8.0,7.0,9.0,12.0,10.0,9.0,10.0,8.0,8.0,10.0,11.0,11.0,15.0,10.0,12.0,10.0,0.0,9.0,10.0,10.0,8.0,12.0,9.0
>ENST00000458353.1,7.0,8.0,8.0,9.0,7.0,9.0,9.0,8.0,10.0,10.0,7.0,8.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,0.0,8.0,7.0,10.0,9.0,9.0
>ENST00000437151.1,9.0,10.0,9.0,12.0,8.0,9.0,11.0,9.0,12.0,9.0,8.0,7.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,0.0,10.0,10.0,11.0,8.0
