,>ENST00000407157.2,>ENST00000585516.1,>ENST00000427694.1,>ENST00000495649.1,>ENST00000420387.1,>ENST00000400072.3,>ENST00000436690.1,>ENST00000421144.2,ENSG00000200309.1,>ENST00000440352.2,>ENST00000438163.1,>ENST00000596405.1
>ENST00000407157.2,0.0,10.0,9.0,9.0,10.0,10.0,9.0,13.0,8.0,9.0,12.0,9.0
>ENST00000585516.1,10.0,0.0,11.0,12.0,10.0,9.0,10.0,10.0,8.0,9.0,11.0,9.0
>ENST00000427694.1,9.0,11.0,0.0,7.0,9.0,8.0,6.0,10.0,7.0,7.0,9.0,8.0
>ENST00000495649.1,9.0,12.0,7.0,0.0,8.0,10.0,10.0,9.0,9.0,10.0,11.0,12.0
>ENST00000420387.1,10.0,10.0,9.0,8.0,0.0,11.0,9.0,10.0,8.0,10.0,11.0,10.0
>ENST00000400072.3,10.0,9.0,8.0,10.0,11.0,0.0,8.0,10.0,7.0,9.0,12.0,10.0
>ENST00000436690.1,9.0,10.0,6.0,10.0,9.0,8.0,0.0,10.0,8.0,9.0,10.0,10.0
>ENST00000421144.2,13.0,10.0,10.0,9.0,10.0,10.0,10.0,0.0,8.0,9.0,10.0,11.0
ENSG00000200309.1,8.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,0.0,9.0,8.0,7.0
>ENST00000440352.2,9.0,9.0,7.0,10.0,10.0,9.0,9.0,9.0,9.0,0.0,10.0,11.0
>ENST00000438163.1,12.0,11.0,9.0,11.0,11.0,12.0,10.0,10.0,8.0,10.0,0.0,13.0
>ENST00000596405.1,9.0,9.0,8.0,12.0,10.0,10.0,10.0,11.0,7.0,11.0,13.0,0.0
