,>ENST00000489989.1,>ENST00000391782.2,>ENST00000448026.3,>ENST00000433508.1,>ENST00000505004.1,>ENST00000471722.1,>ENST00000622398.1,>ENST00000454258.2,>ENST00000497904.1,>ENST00000603975.1,>ENST00000541161.1,ENSG00000280253.1,>ENST00000589678.1,>ENST00000428316.1,>ENST00000503717.1,ENSG00000264862.2,>ENST00000529684.1,>ENST00000419696.1,>ENST00000624978.1,>ENST00000605569.1,>ENST00000510537.1,>ENST00000412354.1,>ENST00000525638.1,>ENST00000422476.2,>ENST00000358446.2,>ENST00000563550.5,>ENST00000420569.2,>ENST00000440222.1,>ENST00000566646.1,>ENST00000388967.3,>ENST00000487972.1,>ENST00000486538.1
>ENST00000489989.1,0.0,9.0,8.0,9.0,7.0,9.0,7.0,8.0,8.0,7.0,6.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0
>ENST00000391782.2,9.0,0.0,7.0,10.0,8.0,11.0,8.0,8.0,8.0,9.0,5.0,10.0,8.0,11.0,11.0,8.0,7.0,11.0,12.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0
>ENST00000448026.3,8.0,7.0,0.0,7.0,6.0,7.0,6.0,6.0,9.0,7.0,5.0,9.0,8.0,9.0,6.0,9.0,5.0,9.0,11.0,8.0,8.0,7.0,9.0,9.0,11.0,9.0,10.0,10.0,8.0,11.0,9.0,8.0
>ENST00000433508.1,9.0,10.0,7.0,0.0,8.0,9.0,8.0,9.0,9.0,9.0,6.0,9.0,11.0,10.0,9.0,9.0,7.0,12.0,9.0,10.0,8.0,11.0,12.0,9.0,9.0,13.0,10.0,10.0,10.0,15.0,8.0,144.0
>ENST00000505004.1,7.0,8.0,6.0,8.0,0.0,7.0,5.0,6.0,8.0,8.0,4.0,10.0,7.0,9.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0
>ENST00000471722.1,9.0,11.0,7.0,9.0,7.0,0.0,8.0,9.0,11.0,10.0,7.0,8.0,10.0,10.0,8.0,9.0,13.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,8.0
>ENST00000622398.1,7.0,8.0,6.0,8.0,5.0,8.0,0.0,6.0,6.0,8.0,6.0,6.0,8.0,8.0,8.0,7.0,7.0,11.0,8.0,8.0,7.0,7.0,9.0,10.0,9.0,10.0,8.0,7.0,7.0,9.0,7.0,7.0
>ENST00000454258.2,8.0,8.0,6.0,9.0,6.0,9.0,6.0,0.0,8.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,6.0,7.0,8.0,7.0,9.0,10.0,8.0,7.0,8.0,11.0,9.0,7.0
>ENST00000497904.1,8.0,8.0,9.0,9.0,8.0,11.0,6.0,8.0,0.0,8.0,6.0,8.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,10.0,13.0,12.0,10.0,10.0,10.0,9.0
>ENST00000603975.1,7.0,9.0,7.0,9.0,8.0,10.0,8.0,7.0,8.0,0.0,9.0,9.0,9.0,10.0,9.0,8.0,7.0,11.0,9.0,10.0,8.0,9.0,10.0,10.0,10.0,13.0,10.0,9.0,9.0,10.0,8.0,9.0
>ENST00000541161.1,6.0,5.0,5.0,6.0,4.0,7.0,6.0,8.0,6.0,9.0,0.0,7.0,8.0,9.0,6.0,6.0,7.0,8.0,11.0,8.0,5.0,9.0,6.0,9.0,7.0,7.0,10.0,6.0,7.0,9.0,5.0,6.0
ENSG00000280253.1,9.0,10.0,9.0,9.0,10.0,8.0,6.0,8.0,8.0,9.0,7.0,0.0,11.0,9.0,9.0,9.0,8.0,12.0,16.0,9.0,8.0,10.0,11.0,12.0,14.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0
>ENST00000589678.1,9.0,8.0,8.0,11.0,7.0,10.0,8.0,8.0,9.0,9.0,8.0,11.0,0.0,12.0,10.0,8.0,8.0,11.0,10.0,10.0,9.0,10.0,11.0,11.0,12.0,9.0,10.0,11.0,9.0,11.0,9.0,10.0
>ENST00000428316.1,10.0,11.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,12.0,0.0,11.0,8.0,9.0,9.0,11.0,9.0,8.0,10.0,12.0,11.0,11.0,11.0,11.0,10.0,9.0,12.0,9.0,10.0
>ENST00000503717.1,8.0,11.0,6.0,9.0,7.0,8.0,8.0,8.0,10.0,9.0,6.0,9.0,10.0,11.0,0.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,9.0,9.0,11.0,10.0,9.0,9.0,8.0,10.0,8.0,11.0
ENSG00000264862.2,9.0,8.0,9.0,9.0,7.0,9.0,7.0,9.0,8.0,8.0,6.0,9.0,8.0,8.0,8.0,0.0,9.0,9.0,9.0,14.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,8.0,10.0,8.0,9.0
>ENST00000529684.1,8.0,7.0,5.0,7.0,8.0,13.0,7.0,9.0,10.0,7.0,7.0,8.0,8.0,9.0,8.0,9.0,0.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0
>ENST00000419696.1,9.0,11.0,9.0,12.0,8.0,10.0,11.0,10.0,9.0,11.0,8.0,12.0,11.0,9.0,9.0,9.0,10.0,0.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,13.0,12.0,10.0,10.0,12.0,11.0,10.0
>ENST00000624978.1,8.0,12.0,11.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,11.0,16.0,10.0,11.0,9.0,9.0,8.0,10.0,0.0,11.0,10.0,10.0,10.0,8.0,11.0,11.0,11.0,9.0,8.0,10.0,12.0,10.0
>ENST00000605569.1,9.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,14.0,9.0,9.0,11.0,0.0,11.0,9.0,12.0,10.0,12.0,13.0,12.0,12.0,11.0,11.0,11.0,9.0
>ENST00000510537.1,8.0,8.0,8.0,8.0,7.0,8.0,7.0,6.0,9.0,8.0,5.0,8.0,9.0,8.0,7.0,9.0,9.0,9.0,10.0,11.0,0.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0
>ENST00000412354.1,7.0,8.0,7.0,11.0,8.0,8.0,7.0,7.0,8.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,8.0,10.0,10.0,9.0,8.0,0.0,10.0,10.0,10.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0
>ENST00000525638.1,9.0,10.0,9.0,12.0,8.0,8.0,9.0,8.0,9.0,10.0,6.0,11.0,11.0,12.0,9.0,10.0,9.0,9.0,10.0,12.0,9.0,10.0,0.0,9.0,11.0,11.0,12.0,10.0,9.0,11.0,8.0,9.0
>ENST00000422476.2,8.0,8.0,9.0,9.0,8.0,9.0,10.0,7.0,7.0,10.0,9.0,12.0,11.0,11.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,10.0,9.0,0.0,11.0,11.0,9.0,10.0,7.0,10.0,7.0,9.0
>ENST00000358446.2,9.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,7.0,14.0,12.0,11.0,11.0,10.0,8.0,11.0,11.0,12.0,8.0,10.0,11.0,11.0,0.0,12.0,14.0,11.0,11.0,11.0,9.0,10.0
>ENST00000563550.5,10.0,9.0,9.0,13.0,8.0,10.0,10.0,10.0,10.0,13.0,7.0,10.0,9.0,11.0,10.0,11.0,7.0,13.0,11.0,13.0,8.0,9.0,11.0,11.0,12.0,0.0,9.0,12.0,9.0,10.0,8.0,9.0
>ENST00000420569.2,9.0,9.0,10.0,10.0,8.0,9.0,8.0,8.0,13.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,12.0,11.0,12.0,9.0,9.0,12.0,9.0,14.0,9.0,0.0,9.0,10.0,12.0,10.0,10.0
>ENST00000440222.1,9.0,8.0,10.0,10.0,8.0,10.0,7.0,7.0,12.0,9.0,6.0,10.0,11.0,10.0,9.0,10.0,8.0,10.0,9.0,12.0,9.0,9.0,10.0,10.0,11.0,12.0,9.0,0.0,10.0,9.0,9.0,10.0
>ENST00000566646.1,8.0,9.0,8.0,10.0,7.0,8.0,7.0,8.0,10.0,9.0,7.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,11.0,9.0,7.0,9.0,7.0,11.0,9.0,10.0,10.0,0.0,12.0,9.0,8.0
>ENST00000388967.3,9.0,11.0,11.0,15.0,8.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,11.0,12.0,10.0,10.0,8.0,12.0,10.0,11.0,9.0,9.0,11.0,10.0,11.0,10.0,12.0,9.0,12.0,0.0,10.0,11.0
>ENST00000487972.1,9.0,10.0,9.0,8.0,9.0,10.0,7.0,9.0,10.0,8.0,5.0,8.0,9.0,9.0,8.0,8.0,8.0,11.0,12.0,11.0,8.0,9.0,8.0,7.0,9.0,8.0,10.0,9.0,9.0,10.0,0.0,9.0
>ENST00000486538.1,9.0,9.0,8.0,144.0,8.0,8.0,7.0,7.0,9.0,9.0,6.0,9.0,10.0,10.0,11.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,11.0,9.0,0.0
