,>ENST00000436906.1,>ENST00000404228.1,>ENST00000582638.1,>ENST00000411849.1,>ENST00000613187.1,>ENST00000535353.2,>ENST00000450522.1,>ENST00000389400.4,ENSG00000200139.1,>ENST00000601184.1,>ENST00000439391.3,>ENST00000435950.1,>ENST00000451571.1,>ENST00000430660.1,>ENST00000562293.1,>ENST00000603938.1,>ENST00000457656.1,>ENST00000431082.1,>ENST00000511152.1,>ENST00000432815.2,>ENST00000498507.1,>ENST00000426492.1,>ENST00000507974.1,>ENST00000580257.1,>ENST00000445125.2,>ENST00000415579.2,>ENST00000444242.1,>ENST00000509365.1,>ENST00000614375.1,>ENST00000506509.1,>ENST00000574491.1,ENSG00000264114.1,>ENST00000597319.1,>ENST00000603094.1,>ENST00000619520.1,>ENST00000507326.2,>ENST00000509280.1,>ENST00000619967.1
>ENST00000436906.1,0.0,10.0,9.0,10.0,9.0,9.0,10.0,12.0,10.0,8.0,10.0,8.0,10.0,9.0,10.0,11.0,11.0,8.0,11.0,10.0,9.0,10.0,9.0,11.0,12.0,9.0,9.0,10.0,10.0,7.0,8.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0
>ENST00000404228.1,10.0,0.0,11.0,10.0,8.0,9.0,10.0,10.0,8.0,9.0,12.0,15.0,10.0,9.0,9.0,12.0,11.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,12.0,10.0,10.0,9.0,8.0,8.0,10.0,8.0,9.0,10.0,10.0,11.0
>ENST00000582638.1,9.0,11.0,0.0,10.0,8.0,8.0,11.0,10.0,7.0,12.0,7.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,11.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,8.0,6.0,8.0,6.0,9.0,8.0,11.0,9.0,9.0,8.0
>ENST00000411849.1,10.0,10.0,10.0,0.0,8.0,11.0,10.0,9.0,8.0,9.0,8.0,9.0,10.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,8.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,10.0,7.0,10.0,8.0,9.0,9.0,9.0,8.0
>ENST00000613187.1,9.0,8.0,8.0,8.0,0.0,13.0,9.0,10.0,8.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,13.0,8.0,8.0,11.0,14.0,10.0,11.0,9.0,8.0,7.0,8.0,7.0,11.0,9.0,11.0,9.0,10.0,8.0
>ENST00000535353.2,9.0,9.0,8.0,11.0,13.0,0.0,9.0,10.0,6.0,9.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,7.0,9.0,9.0,7.0,9.0,12.0,9.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,8.0,8.0
>ENST00000450522.1,10.0,10.0,11.0,10.0,9.0,9.0,0.0,12.0,9.0,10.0,12.0,12.0,11.0,9.0,10.0,12.0,14.0,9.0,11.0,10.0,12.0,9.0,10.0,9.0,11.0,9.0,10.0,12.0,14.0,8.0,10.0,8.0,10.0,10.0,10.0,11.0,9.0,9.0
>ENST00000389400.4,12.0,10.0,10.0,9.0,10.0,10.0,12.0,0.0,8.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,10.0,9.0,9.0,14.0,11.0,12.0,9.0,10.0,8.0,8.0,9.0,10.0,10.0,11.0,11.0,9.0,9.0
ENSG00000200139.1,10.0,8.0,7.0,8.0,8.0,6.0,9.0,8.0,0.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,8.0,7.0,7.0,7.0,9.0,8.0,8.0,7.0,10.0,9.0,8.0,7.0,6.0,7.0,10.0,8.0,9.0,9.0,9.0
>ENST00000601184.1,8.0,9.0,12.0,9.0,10.0,9.0,10.0,10.0,8.0,0.0,9.0,11.0,10.0,8.0,9.0,10.0,11.0,10.0,10.0,12.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,12.0,8.0,8.0,8.0,8.0,10.0,12.0,10.0,11.0,8.0
