,>ENST00000472161.1,>ENST00000405809.2,>ENST00000315132.7,>ENST00000453522.1,>ENST00000449736.2,>ENST00000502774.1,>ENST00000442343.1,>ENST00000457490.1,>ENST00000510294.1,>ENST00000424051.1,>ENST00000418074.1,>ENST00000564298.2,>ENST00000453982.1,>ENST00000448534.2,>ENST00000427600.2,>ENST00000511811.1,>ENST00000455505.1,>ENST00000449146.1,>ENST00000519079.1,>ENST00000447355.1,>ENST00000483587.1,>ENST00000468914.2,ENSG00000130725.7,>ENST00000412796.1,>ENST00000624041.1,>ENST00000502331.2,>ENST00000412123.1,>ENST00000332088.7,>ENST00000417250.1,>ENST00000623687.1,>ENST00000540985.1,ENSG00000170468.7,>ENST00000427528.1,>ENST00000392530.2,>ENST00000614866.1,>ENST00000442493.1,>ENST00000459811.1,>ENST00000484916.1,>ENST00000497298.1
>ENST00000472161.1,0.0,9.0,9.0,9.0,9.0,10.0,9.0,13.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,8.0,11.0,12.0,8.0,11.0,10.0,10.0,10.0,11.0,10.0,9.0,11.0,10.0,8.0,8.0,12.0,11.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0
>ENST00000405809.2,9.0,0.0,9.0,8.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0,8.0,9.0,9.0,7.0,10.0,8.0,9.0,10.0,10.0,10.0,8.0,11.0,13.0,8.0,10.0,9.0,9.0,9.0,7.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0
>ENST00000315132.7,9.0,9.0,0.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,12.0,11.0,11.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0
>ENST00000453522.1,9.0,8.0,9.0,0.0,9.0,11.0,10.0,8.0,11.0,11.0,9.0,9.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0,12.0,16.0,10.0,16.0,11.0,10.0,9.0,10.0,11.0,11.0,9.0,11.0,13.0,9.0,7.0,8.0,9.0
>ENST00000449736.2,9.0,8.0,9.0,9.0,0.0,10.0,11.0,8.0,10.0,8.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,8.0
>ENST00000502774.1,10.0,9.0,9.0,11.0,10.0,0.0,13.0,8.0,11.0,9.0,10.0,10.0,10.0,10.0,12.0,8.0,9.0,8.0,10.0,11.0,11.0,12.0,11.0,10.0,10.0,10.0,10.0,14.0,9.0,10.0,10.0,11.0,11.0,10.0,12.0,9.0,10.0,11.0,9.0
>ENST00000442343.1,9.0,9.0,9.0,10.0,11.0,13.0,0.0,8.0,11.0,10.0,11.0,10.0,10.0,12.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,9.0,13.0,10.0,12.0,12.0,10.0,11.0,9.0,10.0,12.0,11.0,9.0,10.0,10.0,13.0,11.0,11.0,10.0
>ENST00000457490.1,13.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,11.0,9.0,10.0,10.0,11.0,10.0,8.0,8.0,11.0,8.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,8.0,9.0,10.0,7.0,9.0,14.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0
>ENST00000510294.1,10.0,10.0,10.0,11.0,10.0,11.0,11.0,11.0,0.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,12.0,11.0,13.0,10.0,10.0,11.0,14.0,10.0,9.0,11.0,13.0,13.0,9.0,10.0,12.0,11.0,9.0,9.0,12.0
>ENST00000424051.1,9.0,10.0,10.0,11.0,8.0,9.0,10.0,9.0,11.0,0.0,11.0,11.0,10.0,9.0,12.0,9.0,8.0,8.0,11.0,10.0,11.0,9.0,11.0,10.0,11.0,9.0,11.0,10.0,8.0,9.0,11.0,9.0,9.0,10.0,12.0,8.0,10.0,10.0,11.0
